Date,LMND_Adj Close,LMND_Volume
2020-12-03,80.34999847,9344400
2020-12-04,85.04000091552734,5463900
2020-12-07,91.72000122070312,7528100
2020-12-10,99.6999969482422,7697800
2020-12-11,91.58999633789062,5590400
2020-12-23,134.4499969482422,5511800
2020-12-28,107.66999816894533,6543600
2020-12-29,118.33999633789062,6793600
2020-12-30,129.88999938964844,4738400
2020-12-31,122.5,4879900
2021-01-07,152.17999267578125,6784400
2021-01-08,160.74000549316406,7505100
2021-01-11,183.25999450683597,7535700
2021-01-12,172.99000549316406,8202600
2021-01-13,176.63999938964844,4564200
2021-01-14,158.5,15223600
2021-01-15,147.74000549316406,9373700
2021-01-19,142.63999938964844,6550100
2021-01-25,150.97999572753906,6629500
2021-01-27,156.0,7783700
2021-03-02,110.4499969482422,7638200
2021-03-03,103.06999969482422,4555100
2021-03-04,95.8000030517578,5476700
2021-03-05,92.90000153,6073200
2021-03-11,105.87999725341795,6319600
2021-05-12,60.16999816894531,12298500
2021-05-13,64.72000122070312,9167000
2021-05-14,69.44999694824219,4881800
2021-11-03,72.05999755859375,5249500
2021-11-09,62.93999862670898,5523200
2022-01-24,29.940000534057617,4993200
2022-02-24,23.51000022888184,6870000
2022-06-24,19.940000534057617,5485700
2022-08-09,28.11000061035156,6626600
2023-05-04,14.170000076293944,8235100
2023-07-19,24.07999992370605,5516200
2023-08-03,17.309999465942383,4862800
2023-11-02,16.170000076293945,10708200
2023-11-03,17.31999969482422,6222300
2023-12-14,18.989999771118164,4595000
2024-02-27,21.71999931335449,7394300
2024-02-28,15.699999809265137,13123400
2024-02-29,16.239999771118164,4764600
2024-05-13,18.62999916,5260900
2024-07-31,18.030000686645508,6248300
2024-10-31,23.770000457763672,9628500
2024-11-11,34.24000168,5757300
2024-11-19,40.13999938964844,6075100
2024-11-20,46.58000183105469,9349300
2024-11-21,50.36000061035156,9914400
2024-12-02,45.90999984741211,4563900
2025-02-25,31.989999771118164,5028100
2025-02-26,31.479999542236328,8018600
2025-02-27,35.459999084472656,7492400
2025-05-06,30.309999465942383,4813400
2025-06-17,37.869998931884766,4690400
2025-06-23,45.790000915527344,4707500
2025-08-05,47.93000030517578,13260400
2025-08-06,51.06999969482422,5643000
2025-08-13,59.70000076293945,6440700
2025-11-05,78.73000336,13344400
2025-11-06,75.12999725341797,5428500
2025-11-20,67.97000122070312,4598900
